"","MouseID","ARC_N","BRAF_N","DYRK1A_N","ITSN1_N","pERK_N","pNUMB_N","S6_N","SOD1_N","Genotype","Treatment","Behavior","class"
"34","320",0.140062648,0.493452454,0.568229103,0.812018113,0.906988129,0.467751805,0.598989964,0.342430547,"Control","Memantine","C/S","c-CS-m"
"35","320",0.140775469,0.502260739,0.587038433,0.863727707,0.917357448,0.496232102,0.576849975,0.360085406,"Control","Memantine","C/S","c-CS-m"
"36","320",0.138192028,0.501373626,0.595904096,0.861763237,0.917832168,0.529220779,0.529756455,0.366883117,"Control","Memantine","C/S","c-CS-m"
"37","320",0.132068588,0.4691432,0.522917915,0.721090473,0.799880168,0.460155782,0.577617658,0.340023966,"Control","Memantine","C/S","c-CS-m"
"38","320",0.133310068,0.45880901,0.530854674,0.748071583,0.819962974,0.491977785,0.520851509,0.350200555,"Control","Memantine","C/S","c-CS-m"
"39","320",0.127624925,0.466552848,0.534999224,0.773863107,0.839670961,0.529411765,0.485214708,0.375756635,"Control","Memantine","C/S","c-CS-m"
"40","320",0.135074977,0.474266108,0.519443385,0.736370568,0.787266489,0.479603507,0.551077788,0.356080823,"Control","Memantine","C/S","c-CS-m"
"41","320",0.126185519,0.468378327,0.508589768,0.735699453,0.781952048,0.492920521,0.52475133,0.39116481,"Control","Memantine","C/S","c-CS-m"
"42","320",0.129845815,0.467775468,0.516537517,0.737478737,0.795879796,0.524853525,0.442951542,0.3997354,"Control","Memantine","C/S","c-CS-m"
"43","320",0.129798398,0.458523245,0.454421149,0.685278031,0.731084777,0.477666363,0.529549848,0.353691887,"Control","Memantine","C/S","c-CS-m"
"44","320",0.113106406,0.468085106,0.471745596,0.697323267,0.760466712,0.489132922,0.482980434,0.373369938,"Control","Memantine","C/S","c-CS-m"
"45","320",0.114379085,0.471344765,0.481272563,0.684115523,0.756543321,0.527075812,0.442745098,0.379738267,"Control","Memantine","C/S","c-CS-m"
"46","321",0.149351429,0.398793198,0.560614372,0.763027976,0.832473944,0.478551838,0.534110017,0.337356007,"Control","Memantine","C/S","c-CS-m"
"47","321",0.143155383,0.396756757,0.516108108,0.749621622,0.843351351,0.478594595,0.521085595,0.337621622,"Control","Memantine","C/S","c-CS-m"
"48","321",0.140878262,0.403423773,0.507321275,0.77002584,0.832687339,0.507859604,0.519772388,0.351851852,"Control","Memantine","C/S","c-CS-m"
"49","321",0.151928321,0.37449421,0.505092786,0.695549044,0.719966513,0.471885029,0.50377873,0.329426538,"Control","Memantine","C/S","c-CS-m"
"50","321",0.148776184,0.384326281,0.479120267,0.689170379,0.729955457,0.486219376,0.498810711,0.339643653,"Control","Memantine","C/S","c-CS-m"
"51","321",0.154020728,0.371658483,0.457992362,0.703491544,0.711811238,0.507092199,0.514411075,0.348199673,"Control","Memantine","C/S","c-CS-m"
"52","321",0.103565365,0.351789896,0.420541987,0.62295082,0.643860823,0.446637671,0.472585639,0.319839411,"Control","Memantine","C/S","c-CS-m"
"53","321",0.143438651,0.371640248,0.437456926,0.6404204,0.630427292,0.477084769,0.482942431,0.339593384,"Control","Memantine","C/S","c-CS-m"
"54","321",0.14642616,0.360923803,0.403742414,0.640761969,0.630310182,0.496797033,0.507668564,0.340357384,"Control","Memantine","C/S","c-CS-m"
"55","321",0.122540605,0.388814016,0.383423181,0.58378257,0.619721473,0.442722372,0.548395616,0.347484277,"Control","Memantine","C/S","c-CS-m"
"56","321",0.128127469,0.38623627,0.38264963,0.596951356,0.599193006,0.445415826,0.549644456,0.343196593,"Control","Memantine","C/S","c-CS-m"
"57","321",0.126506822,0.372113481,0.396305256,0.577083792,0.585880801,0.447327909,0.546165055,0.337585221,"Control","Memantine","C/S","c-CS-m"
"58","321",0.131944444,0.369451697,0.378328982,0.590861619,0.551174935,0.420626632,0.527116402,0.352480418,"Control","Memantine","C/S","c-CS-m"
"59","321",0.131253016,0.389050516,0.366569691,0.573657762,0.617297011,0.45517059,0.529676693,0.340650622,"Control","Memantine","C/S","c-CS-m"
"60","321",0.129626662,0.386440678,0.385658409,0.583311604,0.583833116,0.433376793,0.509053036,0.349413299,"Control","Memantine","C/S","c-CS-m"
"61","322",0.138143423,0.296133776,0.3778463,0.555621442,0.643145161,0.457542694,0.45035929,0.293643264,"Control","Memantine","C/S","c-CS-m"
"62","322",0.136911281,0.311571589,0.39071277,0.582698789,0.674447635,0.481462988,0.444249726,0.31456747,"Control","Memantine","C/S","c-CS-m"
"63","322",0.134709789,0.331086984,0.395357544,0.576313491,0.663297142,0.489579433,0.435677159,0.319231249,"Control","Memantine","C/S","c-CS-m"
"64","322",0.137724022,0.316895843,0.384858543,0.540698593,0.607554923,0.465307413,0.413701775,0.314683104,"Control","Memantine","C/S","c-CS-m"
"65","322",0.142314991,0.309471366,0.356513531,0.524386407,0.597388295,0.471837634,0.410228608,0.313876652,"Control","Memantine","C/S","c-CS-m"
"66","322",0.139539104,0.319257025,0.362914748,0.555484998,0.588347357,0.489125258,0.407729995,0.322590887,"Control","Memantine","C/S","c-CS-m"
"67","322",0.133658197,0.303293236,0.359692368,0.500887399,0.545848945,0.464602642,0.370808679,0.318674818,"Control","Memantine","C/S","c-CS-m"
"68","322",0.139105749,0.300430866,0.379945163,0.504504505,0.511946729,0.464943204,0.381476224,0.318448884,"Control","Memantine","C/S","c-CS-m"
"69","322",0.139154324,0.287037037,0.328703704,0.493441358,0.509259259,0.470871914,0.372551362,0.323302469,"Control","Memantine","C/S","c-CS-m"
"70","322",0.140586121,0.315334268,0.346891071,0.47428705,0.528517999,0.467741935,0.340060824,0.316503039,"Control","Memantine","C/S","c-CS-m"
"71","322",0.14077193,0.299701218,0.33923236,0.477591358,0.503332567,0.453918639,0.341052632,0.323833601,"Control","Memantine","C/S","c-CS-m"
"72","322",0.142210273,0.291559504,0.341360767,0.480710779,0.498714052,0.468552724,0.346257252,0.32592939,"Control","Memantine","C/S","c-CS-m"
"73","322",0.14524838,0.329922566,0.34375,0.470409292,0.52295354,0.499170354,0.302915767,0.340431416,"Control","Memantine","C/S","c-CS-m"
"74","322",0.136363636,0.338959212,0.334739803,0.473980309,0.517018284,0.496202532,0.330545455,0.361181435,"Control","Memantine","C/S","c-CS-m"
"75","322",0.139117701,0.340066408,0.341449917,0.472329828,0.492529054,0.497786386,0.300750503,0.355838406,"Control","Memantine","C/S","c-CS-m"
"76","3415",0.132000812,0.512773403,0.649781277,0.828696413,0.969466317,0.361417323,0.54104099,0.340857393,"Control","Memantine","C/S","c-CS-m"
"77","3415",0.139007656,0.511502146,0.616480687,0.841974249,0.991845494,0.360257511,0.539226409,0.337682403,"Control","Memantine","C/S","c-CS-m"
"78","3415",0.134803674,0.533204667,0.637424335,0.852881832,0.989999123,0.374331082,0.561875442,0.342398456,"Control","Memantine","C/S","c-CS-m"
"79","3415",0.11898229,0.45919404,0.576814539,0.755389999,0.819166949,0.345185687,0.466762285,0.312111977,"Control","Memantine","C/S","c-CS-m"
"80","3415",0.128635347,0.486306773,0.542544799,0.757917277,0.815056914,0.346556971,0.491797166,0.309478192,"Control","Memantine","C/S","c-CS-m"
"81","3415",0.12791853,0.495769316,0.569917613,0.761077711,0.836450679,0.351592073,0.483420268,0.304720552,"Control","Memantine","C/S","c-CS-m"
"82","3415",0.113798475,0.432125769,0.494053315,0.666165414,0.719480519,0.334244703,0.393785357,0.296924129,"Control","Memantine","C/S","c-CS-m"
"83","3415",0.125587145,0.38280437,0.485691988,0.629682622,0.685744017,0.342741935,0.409064689,0.287200832,"Control","Memantine","C/S","c-CS-m"
"84","3415",0.125052349,0.419731544,0.508724832,0.655302013,0.690604027,0.341879195,0.418376748,0.298120805,"Control","Memantine","C/S","c-CS-m"
"85","3415",0.111411912,0.427968851,0.408176509,0.543640493,0.602693056,0.325438027,0.359329446,0.261680727,"Control","Memantine","C/S","c-CS-m"
"86","3415",0.125,0.388852779,0.417777056,0.548098798,0.617322067,0.335229119,0.374270833,0.269418265,"Control","Memantine","C/S","c-CS-m"
"87","3415",0.131592799,0.361538462,0.42913257,0.563175123,0.579214403,0.34304419,0.365617433,0.271522095,"Control","Memantine","C/S","c-CS-m"
"88","3415",0.067254286,0.346685645,0.367629118,0.504473363,0.545140301,0.349328996,0.226273847,0.267385116,"Control","Memantine","C/S","c-CS-m"
"89","3415",0.076805097,0.295055821,0.378987241,0.465510367,0.513755981,0.344098884,0.244690892,0.27053429,"Control","Memantine","C/S","c-CS-m"
"90","3415",0.084397756,0.317180617,0.373648378,0.471165398,0.492591109,0.334601522,0.264653217,0.260913096,"Control","Memantine","C/S","c-CS-m"
"91","3499",0.114622757,0.303951099,0.452427356,0.641389086,0.616672573,0.377126152,0.620987958,0.312189936,"Control","Memantine","C/S","c-CS-m"
"92","3499",0.11988403,0.318962401,0.458423717,0.672451193,0.642353579,0.370842372,0.602609326,0.322758496,"Control","Memantine","C/S","c-CS-m"
"93","3499",0.118829803,0.31220214,0.451128496,0.642658034,0.630608758,0.37352756,0.623012573,0.317687258,"Control","Memantine","C/S","c-CS-m"
"94","3499",0.104087363,0.295510662,0.355667789,0.518294052,0.455555556,0.333333333,0.578658346,0.280583614,"Control","Memantine","C/S","c-CS-m"
"95","3499",0.109347335,0.291242363,0.353473637,0.549558724,0.439239647,0.334125368,0.574760364,0.293957909,"Control","Memantine","C/S","c-CS-m"
"96","3499",0.111131771,0.295864023,0.357393768,0.550141643,0.460963173,0.336203966,0.586959217,0.292351275,"Control","Memantine","C/S","c-CS-m"
"97","3499",0.091821532,0.239031339,0.288176638,0.454273504,0.367094017,0.31994302,0.526307535,0.264814815,"Control","Memantine","C/S","c-CS-m"
"98","3499",0.109012078,0.241280732,0.287307033,0.457690109,0.371497999,0.319611206,0.526633633,0.26815323,"Control","Memantine","C/S","c-CS-m"
"99","3499",0.105890658,0.3031891,0.297349903,0.475370564,0.391076508,0.351100464,0.51235391,0.276089235,"Control","Memantine","C/S","c-CS-m"
"100","3499",0.101609658,0.274539363,0.252093802,0.394137353,0.317420436,0.319262982,0.467907445,0.262646566,"Control","Memantine","C/S","c-CS-m"
"101","3499",0.105498658,0.249155976,0.257765024,0.406144497,0.339466577,0.327987846,0.471810679,0.267555706,"Control","Memantine","C/S","c-CS-m"
"102","3499",0.108015344,0.244697362,0.264873254,0.426452837,0.348853251,0.335575099,0.475065617,0.273840317,"Control","Memantine","C/S","c-CS-m"
"103","3499",0.091286307,0.226539039,0.239489489,0.359421922,0.298798799,0.320945946,0.406458596,0.261824324,"Control","Memantine","C/S","c-CS-m"
"104","3499",0.103912419,0.213390686,0.246493361,0.361698148,0.297737049,0.316813166,0.410624551,0.267065644,"Control","Memantine","C/S","c-CS-m"
"105","3499",0.102516994,0.207642125,0.233550792,0.37054986,0.338676608,0.313699907,0.413558699,0.249394222,"Control","Memantine","C/S","c-CS-m"
"106","3507",0.122072392,0.323993742,0.406343337,0.596358982,0.674015076,0.419854928,0.5511395,0.319015787,"Control","Memantine","C/S","c-CS-m"
"107","3507",0.115984024,0.324358613,0.396814209,0.600930364,0.689878771,0.415280519,0.542485708,0.315900761,"Control","Memantine","C/S","c-CS-m"
"108","3507",0.116339766,0.346192457,0.433099097,0.635594436,0.683493475,0.423203786,0.574106295,0.317797218,"Control","Memantine","C/S","c-CS-m"
"109","3507",0.121502878,0.330136541,0.367035111,0.569895969,0.677828349,0.40263329,0.542167458,0.298439532,"Control","Memantine","C/S","c-CS-m"
"110","3507",0.121350365,0.313959265,0.381520119,0.580394105,0.651101176,0.387315781,0.541768045,0.303361484,"Control","Memantine","C/S","c-CS-m"
"111","3507",0.118344384,0.346401901,0.400033944,0.584691107,0.655974202,0.399015614,0.526321077,0.309572301,"Control","Memantine","C/S","c-CS-m"
"112","3507",0.115994798,0.298545597,0.371069182,0.514544025,0.533018868,0.381092767,0.485955787,0.312106918,"Control","Memantine","C/S","c-CS-m"
"113","3507",0.119401025,0.311723281,0.383181442,0.56006628,0.559859155,0.399544325,0.50571391,0.327671914,"Control","Memantine","C/S","c-CS-m"
"114","3507",0.115738308,0.341003317,0.39800995,0.540215589,0.554104478,0.42371476,0.511297951,0.327321725,"Control","Memantine","C/S","c-CS-m"
"115","3507",0.123793211,0.28882061,0.317655401,0.463011108,0.481919168,0.371070669,0.474462784,0.312692035,"Control","Memantine","C/S","c-CS-m"
"116","3507",0.110234979,0.32425135,0.337260677,0.480854197,0.489690722,0.393225331,0.491089733,0.333087874,"Control","Memantine","C/S","c-CS-m"
"117","3507",0.126283697,0.33299075,0.369989723,0.516443988,0.508735868,0.406217883,0.476091142,0.340184995,"Control","Memantine","C/S","c-CS-m"
"118","3507",0.109864522,0.344140393,0.353361095,0.491671624,0.533016062,0.425044616,0.437341236,0.363176681,"Control","Memantine","C/S","c-CS-m"
"119","3507",0.109712608,0.32387975,0.351673284,0.475609756,0.488939308,0.380601248,0.471365639,0.341179807,"Control","Memantine","C/S","c-CS-m"
"120","3507",0.119648973,0.378722174,0.336513443,0.487424111,0.510841284,0.389129806,0.452696918,0.347788378,"Control","Memantine","C/S","c-CS-m"
"121","3520",0.131188625,0.642843691,0.743408663,1.025423729,1.064595104,0.405461394,0.778590426,0.33079096,"Control","Memantine","C/S","c-CS-m"
"122","3520",0.132621713,0.632656968,0.762442573,1.025459418,1.065084227,0.406967841,0.787034626,0.330781011,"Control","Memantine","C/S","c-CS-m"
"123","3520",0.140156658,0.637718299,0.755979499,1.013382688,0.967539863,0.418280182,0.780678851,0.335041762,"Control","Memantine","C/S","c-CS-m"
"124","3520",0.127690672,0.586694605,0.669722368,0.911733892,0.856207438,0.389863803,0.654398087,0.322812991,"Control","Memantine","C/S","c-CS-m"
"125","3520",0.135333863,0.598481925,0.630001287,0.839186929,0.825807282,0.394699601,0.683028617,0.324585102,"Control","Memantine","C/S","c-CS-m"
"126","3520",0.140565417,0.606956748,0.618551329,0.869723814,0.823736321,0.396560709,0.677120316,0.324908807,"Control","Memantine","C/S","c-CS-m"
"127","3520",0.126783565,0.590332423,0.619720572,0.739200257,0.748675124,0.363577967,0.600309438,0.310582945,"Control","Memantine","C/S","c-CS-m"
"128","3520",0.128307666,0.557259074,0.603723404,0.72324781,0.716051314,0.360607009,0.596273292,0.293022528,"Control","Memantine","C/S","c-CS-m"
"129","3520",0.133066235,0.568316832,0.5229246,0.757044935,0.713175933,0.349276466,0.593470292,0.285300838,"Control","Memantine","C/S","c-CS-m"
"130","3520",0.106365455,0.552857143,0.638367347,0.716734694,0.702857143,0.360612245,0.593010942,0.303061224,"Control","Memantine","C/S","c-CS-m"
"131","3520",0.117486985,0.558227054,0.618440309,0.691825214,0.698933724,0.364833786,0.602934217,0.313819778,"Control","Memantine","C/S","c-CS-m"
"132","3520",0.101804124,0.569925116,0.523578223,0.701477434,0.728799838,0.356203198,0.589034677,0.303987047,"Control","Memantine","C/S","c-CS-m"
"133","3520",0.109791332,0.594654242,0.511770476,0.678273664,0.704757234,0.362432565,0.543338684,0.314860226,"Control","Memantine","C/S","c-CS-m"
"134","3520",0.111111111,0.512859304,0.546646495,0.679021684,0.660363086,0.380231972,0.564949789,0.31896117,"Control","Memantine","C/S","c-CS-m"
"135","3520",0.103414948,0.544662309,0.515371581,0.681675139,0.687000726,0.359719196,0.567976804,0.31033648,"Control","Memantine","C/S","c-CS-m"
"136","3521",0.123888742,0.657324735,0.78422619,1.00380291,1.128637566,0.415674603,0.580186603,0.36235119,"Control","Memantine","C/S","c-CS-m"
"137","3521",0.128412538,0.720703451,0.778713119,1.063760627,1.197699617,0.414485748,0.592034114,0.371561927,"Control","Memantine","C/S","c-CS-m"
"138","3521",0.126086571,0.674335128,0.767988253,0.945994453,1.168706151,0.410344265,0.587945716,0.366944037,"Control","Memantine","C/S","c-CS-m"
"139","3521",0.120075825,0.684168746,0.646064867,0.893513268,0.979587208,0.404853708,0.516971743,0.367203447,"Control","Memantine","C/S","c-CS-m"
"140","3521",0.127897252,0.637600635,0.734437011,0.876063046,0.953963034,0.400498923,0.527060932,0.347545073,"Control","Memantine","C/S","c-CS-m"
"141","3521",0.123283582,0.660639471,0.633406836,0.868687982,0.963947078,0.400441014,0.543223881,0.34707828,"Control","Memantine","C/S","c-CS-m"
"142","3521",0.112492279,0.619256892,0.571314423,0.749633773,0.802770009,0.383007058,0.477995676,0.311093355,"Control","Memantine","C/S","c-CS-m"
"143","3521",0.12106992,0.579746835,0.639173884,0.843304464,0.828514324,0.379613591,0.486782418,0.313790806,"Control","Memantine","C/S","c-CS-m"
"144","3521",0.120559069,0.578862876,0.618862876,0.835317726,0.890568562,0.372976589,0.489419849,0.334046823,"Control","Memantine","C/S","c-CS-m"
"145","3521",0.117316231,0.598111228,0.538125219,0.702343477,0.779993005,0.377229801,0.455648742,0.310772998,"Control","Memantine","C/S","c-CS-m"
"146","3521",0.117652879,0.618810118,0.618631991,0.802814393,0.850374065,0.365336658,0.466554522,0.320270752,"Control","Memantine","C/S","c-CS-m"
"147","3521",0.116147309,0.613554434,0.563806777,0.800468637,0.85147801,0.366077866,0.450620299,0.339942322,"Control","Memantine","C/S","c-CS-m"
"148","3521",0.112772998,0.598903509,0.528070175,0.654166667,0.74627193,0.346710526,0.401588352,0.319736842,"Control","Memantine","C/S","c-CS-m"
"149","3521",0.11180871,0.605380169,0.531347265,0.702756781,0.71342819,0.362383281,0.435212396,0.351489551,"Control","Memantine","C/S","c-CS-m"
"150","3521",0.105284068,0.565580618,0.472848789,0.639933166,0.682957393,0.331035923,0.424579526,0.303884712,"Control","Memantine","C/S","c-CS-m"
"151","294",0.129512325,0.270952771,0.322140322,0.512558013,0.405814906,0.317908818,0.270396092,0.565247065,"Control","Memantine","S/C","c-SC-m"
"152","294",0.127682159,0.263760864,0.305504346,0.488543587,0.397945747,0.303792468,0.279551141,0.553068212,"Control","Memantine","S/C","c-SC-m"
"153","294",0.130377694,0.265654908,0.327590922,0.518457752,0.401832103,0.320617993,0.270950799,0.567815149,"Control","Memantine","S/C","c-SC-m"
"154","294",0.134897644,0.286577993,0.321299015,0.485576093,0.39436863,0.32682674,0.258594052,0.542926239,"Control","Memantine","S/C","c-SC-m"
"155","294",0.136666345,0.268990019,0.300456776,0.475723228,0.387582473,0.310776518,0.283370331,0.530197936,"Control","Memantine","S/C","c-SC-m"
"156","294",0.134469328,0.26153341,0.309965523,0.468067641,0.370382532,0.30865211,0.275754625,0.516335577,"Control","Memantine","S/C","c-SC-m"
"157","294",0.137526519,0.299154334,0.32346723,0.478435518,0.408668076,0.338689218,0.237364283,0.558139535,"Control","Memantine","S/C","c-SC-m"
"158","294",0.132105783,0.334634347,0.293755136,0.46240756,0.399958915,0.335661463,0.241596639,0.544782251,"Control","Memantine","S/C","c-SC-m"
"159","294",0.129769076,0.286544046,0.280735721,0.434656341,0.369990319,0.306292352,0.250753012,0.519070668,"Control","Memantine","S/C","c-SC-m"
"160","294",0.130351743,0.323010052,0.33930997,0.521325727,0.433034501,0.398533007,0.220754417,0.61206194,"Control","Memantine","S/C","c-SC-m"
"161","294",0.136385542,0.315911432,0.315139032,0.483264676,0.422502575,0.355818744,0.239839357,0.576725026,"Control","Memantine","S/C","c-SC-m"
"162","294",0.134928385,0.325466805,0.35969917,0.490404564,0.418827801,0.367219917,0.239257813,0.586618257,"Control","Memantine","S/C","c-SC-m"
"163","294",0.134607564,0.336019839,0.32083075,0.464352139,0.416305022,0.390266584,0.216958113,0.570985741,"Control","Memantine","S/C","c-SC-m"
"164","294",0.14139763,0.37755102,0.335714286,0.519727891,0.460204082,0.402380952,0.226604005,0.636394558,"Control","Memantine","S/C","c-SC-m"
"165","294",0.138410459,0.367613451,0.314397649,0.495266079,0.425399935,0.410708456,0.230753268,0.606594842,"Control","Memantine","S/C","c-SC-m"
"166","3412",0.13268496,0.2245094,0.27048168,0.447234802,0.390284068,0.322080417,0.402570337,0.787429669,"Control","Memantine","S/C","c-SC-m"
"167","3412",0.130771823,0.23116774,0.265891907,0.452814338,0.409549146,0.321338561,0.383215369,0.797815738,"Control","Memantine","S/C","c-SC-m"
"168","3412",0.128913444,0.235127077,0.274456908,0.464006815,0.415873917,0.329689053,0.377783358,0.806190544,"Control","Memantine","S/C","c-SC-m"
"169","3412",0.139072848,0.238168461,0.267213395,0.42405604,0.38595592,0.330087135,0.390952969,0.73979156,"Control","Memantine","S/C","c-SC-m"
"170","3412",0.140412462,0.240528328,0.273375043,0.437087244,0.410149461,0.317518248,0.382294866,0.759645464,"Control","Memantine","S/C","c-SC-m"
"171","3412",0.134315425,0.268664564,0.270942867,0.442691903,0.382229232,0.321240799,0.371425477,0.758149317,"Control","Memantine","S/C","c-SC-m"
"172","3412",0.130820087,0.252962724,0.277741866,0.41822883,0.397974574,0.334195217,0.333380222,0.711915535,"Control","Memantine","S/C","c-SC-m"
"173","3412",0.128377452,0.261971831,0.292091008,0.419934995,0.399566631,0.320043337,0.325469757,0.707908992,"Control","Memantine","S/C","c-SC-m"
"174","3412",0.131075915,0.262323561,0.287296417,0.442345277,0.382410423,0.313355049,0.337793555,0.723127036,"Control","Memantine","S/C","c-SC-m"
"175","3412",0.131483088,0.268197362,0.276746458,0.397166585,0.407425501,0.345383488,0.335993062,0.672691744,"Control","Memantine","S/C","c-SC-m"
"176","3412",0.135447182,0.257849197,0.267985167,0.401483313,0.383189122,0.35105068,0.334137515,0.684301607,"Control","Memantine","S/C","c-SC-m"
"177","3412",0.128837443,0.275612194,0.265617191,0.403048476,0.38005997,0.33808096,0.327965107,0.693403298,"Control","Memantine","S/C","c-SC-m"
"178","3412",0.121776183,0.2990625,0.2696875,0.408125,0.4571875,0.370625,0.305449652,0.741875,"Control","Memantine","S/C","c-SC-m"
"179","3412",0.133318545,0.363692882,0.282872241,0.409698477,0.396953684,0.35965185,0.289707187,0.675784893,"Control","Memantine","S/C","c-SC-m"
"180","3412",0.131498471,0.327473958,0.294270833,0.432291667,0.416666667,0.372070313,0.292704238,0.760742188,"Control","Memantine","S/C","c-SC-m"
"181","3413",0.139883568,0.166456835,0.23192446,0.410251799,0.328327338,0.308723022,0.364674868,0.798381295,"Control","Memantine","S/C","c-SC-m"
"182","3413",0.145595797,0.1645826,0.212310673,0.400140895,0.3354174,0.297199718,0.374133691,0.785752025,"Control","Memantine","S/C","c-SC-m"
"183","3413",0.140738166,0.158513397,0.211927398,0.394641314,0.320829732,0.311322385,0.395793499,0.783405359,"Control","Memantine","S/C","c-SC-m"
"184","3413",0.127360775,0.161240988,0.203736072,0.349683199,0.295389993,0.280970068,0.327429955,0.639611099,"Control","Memantine","S/C","c-SC-m"
"185","3413",0.128842105,0.160262726,0.194417077,0.348330597,0.294362343,0.278927203,0.346315789,0.644882321,"Control","Memantine","S/C","c-SC-m"
